X	Y	Z	T
296177.419	2779580.624	6.450	41782.41428609
296176.986	2779581.626	6.480	41782.41429766
296176.556	2779582.605	6.500	41782.41430924
296176.137	2779583.599	6.470	41782.41432081
296175.718	2779584.598	6.470	41782.41433238
296175.290	2779585.605	6.490	41782.41434396
296174.857	2779586.580	6.530	41782.41435553
296174.423	2779587.575	6.460	41782.41436711
296173.999	2779588.549	6.480	41782.41437868
296173.587	2779589.562	6.510	41782.41439025
296173.187	2779590.551	6.470	41782.41440183
296172.778	2779591.556	6.500	41782.41441340
296172.362	2779592.559	6.530	41782.41442498
296171.932	2779593.548	6.480	41782.41443655
296171.496	2779594.538	6.570	41782.41444812
296171.067	2779595.535	6.520	41782.41445970
296170.640	2779596.535	6.220	41782.41447127
296170.225	2779597.519	6.510	41782.41448285
296169.814	2779598.500	6.550	41782.41449442
296169.399	2779599.484	6.480	41782.41450600
296168.975	2779600.479	6.460	41782.41451757
296168.565	2779601.462	6.480	41782.41452914
296168.145	2779602.440	6.550	41782.41454072
296167.727	2779603.423	6.480	41782.41455229
296167.295	2779604.393	6.430	41782.41456387
296166.873	2779605.363	6.450	41782.41457544
296166.454	2779606.337	6.460	41782.41458701
296166.058	2779607.301	6.410	41782.41459859
296165.665	2779608.274	6.460	41782.41461016
296165.271	2779609.245	6.470	41782.41462174
296164.870	2779610.225	6.470	41782.41463331
296164.451	2779611.189	6.440	41782.41464488
296164.030	2779612.147	6.450	41782.41465646
296163.615	2779613.116	6.440	41782.41466803
296163.198	2779614.058	6.180	41782.41467961
296162.791	2779615.027	6.450	41782.41469118
296162.383	2779615.981	6.480	41782.41470275
296161.967	2779616.964	6.530	41782.41471433
296161.566	2779617.912	6.470	41782.41472590
296161.168	2779618.834	6.480	41782.41473748
296160.752	2779619.813	6.460	41782.41474905
296160.355	2779620.727	6.440	41782.41476062
296159.948	2779621.675	6.480	41782.41477220
296159.542	2779622.634	6.440	41782.41478377
296159.144	2779623.533	6.510	41782.41479535
296158.749	2779624.476	6.540	41782.41480692
296158.346	2779625.390	6.490	41782.41481850
296157.946	2779626.332	6.460	41782.41483007
296157.547	2779627.246	6.460	41782.41484164
296157.144	2779628.180	6.510	41782.41485322
296156.732	2779629.124	6.500	41782.41486479
296155.905	2779631.002	6.510	41782.41488794
296155.510	2779631.926	6.430	41782.41489951
296155.110	2779632.860	6.480	41782.41491109
296154.709	2779633.787	6.450	41782.41492266
296154.308	2779634.707	6.470	41782.41493424
296153.896	2779635.656	6.470	41782.41494581
296153.494	2779636.582	6.430	41782.41495738
296153.103	2779637.519	6.490	41782.41496896
296152.682	2779638.494	6.520	41782.41498053
296152.307	2779639.396	6.400	41782.41499211
296151.903	2779640.331	6.470	41782.41500368
296151.490	2779641.250	6.460	41782.41501525
296151.009	2779642.164	6.410	41782.41502683
296150.529	2779643.016	6.460	41782.41503840
296149.984	2779643.903	6.460	41782.41504998
296149.409	2779644.723	6.420	41782.41506155
296148.824	2779645.505	6.380	41782.41507312
296148.176	2779646.289	6.500	41782.41508470
296147.526	2779647.022	6.510	41782.41509627
296146.841	2779647.726	6.500	41782.41510785
296146.129	2779648.401	6.510	41782.41511942
296145.419	2779649.034	6.480	41782.41513100
296144.701	2779649.633	6.500	41782.41514257
296144.008	2779650.186	6.460	41782.41515414
296143.272	2779650.716	6.420	41782.41516572
296142.589	2779651.194	6.480	41782.41517729
296141.883	2779651.645	6.420	41782.41518887
296141.223	2779652.053	6.390	41782.41520044
296140.592	2779652.434	6.360	41782.41521201
296139.981	2779652.798	6.290	41782.41522359
296139.366	2779653.133	6.380	41782.41523516
296138.766	2779653.438	6.430	41782.41524674
296138.245	2779653.723	6.380	41782.41525831
296137.748	2779653.992	6.430	41782.41526988
296137.286	2779654.244	6.430	41782.41528146
296136.910	2779654.501	6.420	41782.41529303
296136.578	2779654.753	6.400	41782.41530461
296136.254	2779654.985	6.400	41782.41531618
296136.030	2779655.251	6.400	41782.41532775
296135.838	2779655.497	6.420	41782.41533933
296135.655	2779655.716	6.440	41782.41535090
296135.510	2779655.935	6.440	41782.41536248
296135.401	2779656.137	6.470	41782.41537405
296135.334	2779656.327	6.460	41782.41538562
296135.283	2779656.525	6.450	41782.41539720
296135.745	2779657.060	6.420	41782.41546664
296136.020	2779656.910	6.430	41782.41547822
296136.337	2779656.660	6.400	41782.41548979
296136.722	2779656.324	6.370	41782.41550137
296137.165	2779655.923	6.390	41782.41551294
296137.653	2779655.433	6.400	41782.41552451
296138.187	2779654.862	6.390	41782.41553609
296138.750	2779654.233	6.360	41782.41554766
296139.303	2779653.562	6.360	41782.41555924
296139.880	2779652.854	6.380	41782.41557081
296140.480	2779652.067	6.400	41782.41558238
296141.103	2779651.228	6.400	41782.41559396
296141.737	2779650.352	6.380	41782.41560553
296142.375	2779649.468	6.370	41782.41561711
296143.003	2779648.560	6.350	41782.41562868
296143.644	2779647.600	6.410	41782.41564025
296144.302	2779646.596	6.430	41782.41565183
296144.980	2779645.574	6.410	41782.41566340
296145.644	2779644.554	6.370	41782.41567498
296146.309	2779643.548	6.360	41782.41568655
296146.950	2779642.525	6.400	41782.41569812
296147.598	2779641.456	6.430	41782.41570970
296148.211	2779640.344	6.450	41782.41572127
296148.762	2779639.194	6.400	41782.41573285
296149.248	2779638.049	6.390	41782.41574442
296150.034	2779635.718	6.400	41782.41576757
296150.387	2779634.506	6.440	41782.41577914
296150.717	2779633.251	6.420	41782.41579072
296151.034	2779631.948	6.450	41782.41580229
296151.366	2779630.603	6.410	41782.41581387
296151.678	2779629.219	6.400	41782.41582544
296151.997	2779627.793	6.410	41782.41583701
296152.341	2779626.305	6.420	41782.41584859
296152.699	2779624.772	6.450	41782.41586016
296153.066	2779623.222	6.410	41782.41587174
296153.459	2779621.672	6.450	41782.41588331
296153.882	2779620.109	6.400	41782.41589488
296154.334	2779618.559	6.430	41782.41590646
296154.813	2779616.993	6.400	41782.41591803
296155.306	2779615.422	6.440	41782.41592961
296155.835	2779613.865	6.400	41782.41594118
296156.406	2779612.304	6.400	41782.41595275
296156.983	2779610.733	6.390	41782.41596433
296157.616	2779609.196	6.410	41782.41597590
296158.358	2779607.723	6.410	41782.41598748
296159.187	2779606.305	6.400	41782.41599905
296160.104	2779604.935	6.420	41782.41601062
296161.064	2779603.583	6.490	41782.41602220
296162.062	2779602.234	6.450	41782.41603377
296163.038	2779600.869	6.520	41782.41604535
296163.988	2779599.504	6.400	41782.41605692
296164.933	2779598.135	6.380	41782.41606850
296165.847	2779596.737	6.490	41782.41608007
296166.717	2779595.315	6.420	41782.41609164
296167.545	2779593.867	6.410	41782.41610322
296168.374	2779592.404	6.440	41782.41611479
296169.093	2779590.879	6.480	41782.41612637
296169.839	2779589.348	6.440	41782.41613794
296170.571	2779587.814	6.440	41782.41614951
296171.297	2779586.262	6.450	41782.41616109
296172.054	2779584.717	6.460	41782.41617249
296172.810	2779583.168	6.600	41782.41618424
296173.589	2779581.611	6.410	41782.41619564
296174.400	2779580.076	6.430	41782.41620738
296175.231	2779578.570	6.450	41782.41621896
296176.091	2779577.074	6.440	41782.41623036
296176.958	2779575.595	6.530	41782.41624211
296177.872	2779574.130	6.410	41782.41625368
296178.822	2779572.676	6.360	41782.41626508
296179.778	2779571.198	6.390	41782.41627666
296180.798	2779569.765	6.390	41782.41628823
296181.911	2779568.419	6.410	41782.41629980
296183.128	2779567.177	6.330	41782.41631138
296184.448	2779566.051	6.320	41782.41632295
296185.911	2779565.070	6.240	41782.41633453
296189.077	2779563.401	5.940	41782.41635767
296190.691	2779562.568	6.060	41782.41636925
296192.323	2779561.745	6.110	41782.41638082
296193.921	2779560.866	6.120	41782.41639240
296195.464	2779559.921	6.170	41782.41640397
296197.015	2779558.964	6.160	41782.41641554
296198.553	2779557.968	6.160	41782.41642712
296200.117	2779556.959	6.060	41782.41643869
296201.689	2779555.937	5.940	41782.41645027
296203.274	2779554.920	5.850	41782.41646184
296204.878	2779553.936	5.800	41782.41647341
296206.478	2779552.962	5.800	41782.41648499
296208.092	2779552.005	5.780	41782.41649656
296209.672	2779551.067	5.810	41782.41650814
296211.234	2779550.196	5.810	41782.41651971
296212.745	2779549.337	5.830	41782.41653128
296214.248	2779548.547	5.810	41782.41654286
296243.061	2779562.557	6.150	41782.41678591
296242.876	2779565.280	6.130	41782.41679749
296242.424	2779568.049	6.130	41782.41680906
296241.799	2779570.832	6.050	41782.41682064
296241.008	2779573.673	6.110	41782.41683221
296240.104	2779576.556	6.030	41782.41684378
296239.045	2779579.460	6.040	41782.41685536
296237.825	2779582.375	6.100	41782.41686693
296236.501	2779585.267	6.060	41782.41687851
296235.070	2779588.198	6.070	41782.41689008
296233.581	2779591.138	6.060	41782.41690166
296232.048	2779594.122	6.000	41782.41691323
296230.490	2779597.147	5.910	41782.41692480
296228.903	2779600.197	5.860	41782.41693638
296227.316	2779603.279	5.900	41782.41694795
296225.725	2779606.387	6.130	41782.41695953
296224.124	2779609.531	6.150	41782.41697110
296222.535	2779612.652	6.090	41782.41698267
296220.945	2779615.788	6.040	41782.41699425
296219.400	2779618.902	6.190	41782.41700582
296217.865	2779622.034	6.150	41782.41701740
296216.369	2779625.151	6.050	41782.41702897
296214.891	2779628.272	6.240	41782.41704054
