X	Y	Z	T
296217.307	2779492.475	-0.010	41782.41315183
296216.927	2779493.282	-0.020	41782.41316340
296216.538	2779494.093	0.010	41782.41317498
296215.753	2779495.735	-0.030	41782.41319813
296215.348	2779496.572	-0.010	41782.41320970
296214.936	2779497.425	4.410	41782.41322127
296214.551	2779498.263	-0.020	41782.41323285
296214.181	2779499.102	-0.020	41782.41324442
296213.780	2779499.950	4.470	41782.41325600
296213.373	2779500.799	-0.010	41782.41326757
296212.977	2779501.627	-0.010	41782.41327914
296212.567	2779502.473	0.010	41782.41329072
296211.755	2779504.122	-0.010	41782.41331387
296211.354	2779504.955	-0.010	41782.41332544
296210.143	2779507.457	-0.010	41782.41336016
296209.342	2779509.135	0.010	41782.41338331
296208.548	2779510.799	4.150	41782.41340646
296208.139	2779511.641	0.020	41782.41341803
296207.734	2779512.494	3.680	41782.41342961
296207.338	2779513.318	-0.020	41782.41344118
296206.939	2779514.150	0.010	41782.41345275
296206.517	2779515.015	0.010	41782.41346433
296206.123	2779515.841	3.850	41782.41347590
296205.318	2779517.538	0.010	41782.41349905
296203.280	2779521.804	-0.010	41782.41355692
296202.871	2779522.655	-0.010	41782.41356850
296202.479	2779523.504	0.010	41782.41358007
296201.672	2779525.231	-0.010	41782.41360322
296200.433	2779527.871	-0.010	41782.41363794
296200.027	2779528.753	5.770	41782.41364951
296199.628	2779529.614	5.830	41782.41366109
296199.231	2779530.503	5.850	41782.41367266
296198.825	2779531.361	5.880	41782.41368424
296198.414	2779532.248	5.970	41782.41369581
296198.009	2779533.136	5.980	41782.41370738
296197.615	2779534.007	6.010	41782.41371896
296197.207	2779534.924	6.020	41782.41373053
296196.790	2779535.779	6.000	41782.41374211
296196.373	2779536.686	6.060	41782.41375368
296195.960	2779537.583	6.000	41782.41376525
296195.554	2779538.501	6.000	41782.41377683
296195.148	2779539.423	6.020	41782.41378840
296194.745	2779540.314	6.050	41782.41379998
296194.334	2779541.252	6.060	41782.41381155
296193.953	2779542.143	6.120	41782.41382313
296193.540	2779543.064	6.200	41782.41383470
296193.142	2779544.003	6.140	41782.41384627
296192.745	2779544.912	6.110	41782.41385785
296192.340	2779545.858	6.200	41782.41386942
296191.934	2779546.805	6.140	41782.41388100
296191.530	2779547.737	6.080	41782.41389257
296191.131	2779548.659	6.160	41782.41390414
296190.716	2779549.627	6.180	41782.41391572
296190.304	2779550.593	6.210	41782.41392729
296189.897	2779551.514	6.360	41782.41393887
296189.485	2779552.505	6.410	41782.41395044
296189.078	2779553.387	6.340	41782.41396201
